card_variant_id,card_variants_card_id,card_canonical_code,card_card_code,card_name,card_rarity,card_source,candidate_market_product_pk,candidate_market_product_external_id,candidate_product_name,candidate_clean_name,candidate_ext_number,candidate_rarity,candidate_subtype,candidate_source_name,match_confidence,match_score,match_reasons,needs_manual_review,derived_number_key,derived_set_key,pool_size,scored_candidates,cv_variant_key,cv_variant_label,cv_source,cv_print_id,cv_image_path,cv_image_url,cv_release_set_code,cv_is_base,cv_official_provenance
2026,609,OP03-122,,Sogeking,SEC,,3365,587710,Sogeking (Manga),Sogeking Manga,OP03-122,SEC,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP03-122,PRB01,4,4,r1,R1,official-cardlist,OP03-122_r1,PRB01/reprint/OP03-122_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP03-122_r1.png?260305,PRB01,0,-ONE PIECE CARD THE BEST- [PRB-01]
2058,620,OP04-010,,Tony Tony.Chopper,C,,2272,516737,Tony Tony.Chopper,Tony TonyChopper,OP04-010,C,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-010,OP04,4,4,alt,Alt,local-catalog,OP04-010::alt,thumbs/OP04-010alt.webp,,OP04,0,
2059,620,OP04-010,,Tony Tony.Chopper,C,,2272,516737,Tony Tony.Chopper,Tony TonyChopper,OP04-010,C,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-010,OP04,4,4,parallel_1,Parallel 1,official-cardlist,OP04-010_p1,TP2024OD/parallel/OP04-010_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-010_p1.png?260305,OP04,0,Tournament Pack 2024 Oct.-Dec.
2060,620,OP04-010,,Tony Tony.Chopper,C,,2272,516737,Tony Tony.Chopper,Tony TonyChopper,OP04-010,C,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-010,OP04,4,4,parallel_2,Parallel 2,official-cardlist,OP04-010_p2,CS2526CP/parallel/OP04-010_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-010_p2.png?260305,OP04,0,CS 25-26 Celebration Pack
2076,626,OP04-016,,Bad Manners Kick Course,R,,2277,516742,Bad Manners Kick Course,Bad Manners Kick Course,OP04-016,R,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-016,OP04,3,3,alt,Prb02,local-catalog,OP04-016::prb02,thumbs/OP04-016(PRB02).webp,,OP04,0,
2101,634,OP04-024,,Sugar,SP CARD,,2697,541667,Sugar (SP),Sugar SP,OP04-024,SR,,tcgcsv,high,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-024,OP06,3,3,parallel_2,Parallel 2,official-cardlist,OP04-024_p2,OP06/parallel/OP04-024_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-024_p2.png?260305,OP06,0,-WINGS OF THE CAPTAIN-[OP06]
2116,639,OP04-029,,Dellinger,C,,2286,516751,Dellinger,Dellinger,OP04-029,C,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-029,OP04,4,4,alt,Prb01Alt,local-catalog,OP04-029::prb01alt,thumbs/OP04-029(PRB01alt).webp,,OP04,0,
2131,642,OP04-032,,Baby 5,UC,,2287,516752,Baby 5,Baby 5,OP04-032,UC,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-032,OP04,5,5,alt,Alt,local-catalog,OP04-032::alt,thumbs/OP04-032(alt).webp,,OP04,0,
2134,642,OP04-032,,Baby 5,UC,,2287,516752,Baby 5,Baby 5,OP04-032,UC,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-032,OP04,5,5,parallel_4,Parallel 4,official-cardlist,OP04-032_p4,BCV3/parallel/OP04-032_p4.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-032_p4.png?260305,OP04,0,Premium Card Collection -Best Selection Vol.3-
2135,642,OP04-032,,Baby 5,UC,,2287,516752,Baby 5,Baby 5,OP04-032,UC,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-032,OP04,5,5,alt,Prb01Alt,local-catalog,OP04-032::prb01alt,thumbs/OP04-032(PRB01alt).webp,,OP04,0,
2172,654,OP04-044,,Kaido,SR,,2391,527041,Kaido (044) (SP),Kaido 044 SP,OP04-044,SR,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-044,OP05,5,5,parallel_2,Parallel 2,official-cardlist,OP04-044_p2,OP05/parallel/OP04-044_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-044_p2.png?260305,OP05,0,-AWAKENING OF THE NEW ERA-[OP05]
2205,666,OP04-056,,Gum-Gum Red Roc,R,,2307,516772,Gum-Gum Red Roc,Gum Gum Red Roc,OP04-056,R,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-056,OP04,4,4,alt,Prb01Alt,local-catalog,OP04-056::prb01alt,thumbs/OP04-056(PRB01alt).webp,,OP04,0,
2230,674,OP04-064,,Ms. All Sunday,SP CARD,,2698,541668,Ms. All Sunday (SP),Ms All Sunday SP,OP04-064,SR,,tcgcsv,high,89,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,0,OP04-064,OP06,3,3,parallel_2,Parallel 2,official-cardlist,OP04-064_p2,OP06/parallel/OP04-064_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-064_p2.png?260305,OP06,0,-WINGS OF THE CAPTAIN-[OP06]
2283,693,OP04-083,,Sabo,SR,,3369,587958,Sabo (OP04-083) (Manga),Sabo OP04 083 Manga,OP04-083,SR,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-083,PRB01,7,7,r1,R1,official-cardlist,OP04-083_r1,PRB01/reprint/OP04-083_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-083_r1.png?260305,PRB01,0,-ONE PIECE CARD THE BEST- [PRB-01]
2284,693,OP04-083,,Sabo,SR,,4840,656036,Sabo - OP04-083 (Reprint),Sabo OP04 083 Reprint,OP04-083,SR,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-083,PRB02,7,7,r2,R2,official-cardlist,OP04-083_r2,PRB02/reprint/OP04-083_r2.png,https://en.onepiece-cardgame.com/images/cardlist/card/OP04-083_r2.png?260305,PRB02,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02]
2300,699,OP04-089,,Bartolomeo,R,,2334,516801,Bartolomeo,Bartolomeo,OP04-089,R,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-089,OP04,6,6,alt,Prb01Alt,local-catalog,OP04-089::prb01alt,thumbs/OP04-089(PRB01alt).webp,,OP04,0,
2301,699,OP04-089,,Bartolomeo,R,,2334,516801,Bartolomeo,Bartolomeo,OP04-089,R,,tcgcsv,high,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-089,OP04,6,6,alt,Prb01Alt 1,local-catalog,OP04-089::prb01alt 1,thumbs/OP04-089(PRB01alt) (1).webp,,OP04,0,
2303,699,OP04-089,,Bartolomeo,R,,2334,516801,Bartolomeo,Bartolomeo,OP04-089,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-089,OP04,6,6,tr,T R Op09,local-catalog,OP04-089::t r op09,thumbs/OP04-089TR(OP09).webp,,OP04,0,
2312,702,OP04-092,,Rebecca,R,,2336,516803,Rebecca (092),Rebecca 092,OP04-092,R,,tcgcsv,high,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,0,OP04-092,OP04,5,5,alt,Alt Art 2,local-catalog,OP04-092::alt art 2,thumbs/OP04-092alt2.webp,,OP04,0,
