card_variant_id,candidate_market_product_pk,has_price_via_overlay,notes,mpr_market_price,mpr_mid_price,mpr_low_price,mpr_high_price,mpr_direct_low_price,mpr_listed_median_price,captured_at,subtype_name,source_name,mpr_row_id
4113,4192,1,at_least_one_price_column_non_null,0.05,0.1,0.01,1.33,,,2026-04-02 03:06:20,Normal,tcgcsv,4019
4117,4172,1,at_least_one_price_column_non_null,22.75,25.99,19.63,9999.0,,,2026-04-02 03:06:20,Foil,tcgcsv,3999
4118,4191,1,at_least_one_price_column_non_null,0.06,0.1,0.01,1.37,,,2026-04-02 03:06:20,Normal,tcgcsv,4018
4121,4193,1,at_least_one_price_column_non_null,0.05,0.1,0.01,2.75,,,2026-04-02 03:06:20,Normal,tcgcsv,4020
4131,3616,1,at_least_one_price_column_non_null,0.13,0.18,0.01,5.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3443
4132,4194,1,at_least_one_price_column_non_null,0.05,0.12,0.01,1.33,,,2026-04-02 03:06:20,Normal,tcgcsv,4021
4139,3619,1,at_least_one_price_column_non_null,14.3,16.48,13.19,199.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3446
4143,3621,1,at_least_one_price_column_non_null,1.23,2.0,0.99,50.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3448
4153,3625,1,at_least_one_price_column_non_null,0.12,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3452
4154,3625,1,at_least_one_price_column_non_null,0.12,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3452
4173,3633,1,at_least_one_price_column_non_null,4.55,6.03,3.38,420.69,,,2026-04-02 03:06:19,Foil,tcgcsv,3460
4174,3633,1,at_least_one_price_column_non_null,4.55,6.03,3.38,420.69,,,2026-04-02 03:06:19,Foil,tcgcsv,3460
4177,4274,1,at_least_one_price_column_non_null,0.08,0.15,0.01,4.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4101
4183,3637,1,at_least_one_price_column_non_null,4.45,5.44,3.69,29.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3464
4197,3643,1,at_least_one_price_column_non_null,32.32,33.95,26.99,300.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3470
4201,3644,1,at_least_one_price_column_non_null,0.1,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3471
4202,3644,1,at_least_one_price_column_non_null,0.1,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3471
4203,3644,1,at_least_one_price_column_non_null,0.1,0.15,0.01,2.0,,,2026-04-02 03:06:19,Normal,tcgcsv,3471
4204,4218,1,at_least_one_price_column_non_null,0.09,0.15,0.01,1.99,,,2026-04-02 03:06:20,Normal,tcgcsv,4045
4209,4219,1,at_least_one_price_column_non_null,0.09,0.15,0.01,1.32,,,2026-04-02 03:06:20,Normal,tcgcsv,4046
4213,3648,1,at_least_one_price_column_non_null,5.22,6.08,4.5,30.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3475
4214,4857,1,at_least_one_price_column_non_null,0.27,0.33,0.01,10.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4713
4220,3651,1,at_least_one_price_column_non_null,5.37,6.88,4.33,29.99,,,2026-04-02 03:06:19,Foil,tcgcsv,3478
4221,4860,1,at_least_one_price_column_non_null,0.35,0.4,0.16,35.0,,,2026-04-02 03:06:21,Foil,tcgcsv,4716
4227,3654,1,at_least_one_price_column_non_null,10.62,13.44,7.99,100.0,,,2026-04-02 03:06:19,Foil,tcgcsv,3481
