card_variant_id,card_canonical_code,card_name,candidate_market_product_pk,candidate_market_product_external_id,match_score,match_reasons,match_confidence,needs_manual_review,cv_variant_key,cv_variant_label,cv_print_id,cv_image_path
3936,OP08-084,Jack,3076,558120,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-084::alt,thumbs/OP08-084alt.webp
3945,OP08-087,Scratchmen Apoo,5026,656243,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP08-087_p1,PRB02/parallel/OP08-087_p1.png
3946,OP08-087,Scratchmen Apoo,5026,656243,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,OP08-087_r1,PRB02/reprint/OP08-087_r1.png
3969,OP08-098,Kalgara,3091,558135,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-098::alt,thumbs/OP08-098alt.webp
3974,OP08-099,Kalgara,5030,656247,101,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;parallel_variant_no_parallel_market_penalty;card_name_substring_product;source_tcgcsv,low,1,parallel_1,Parallel 1,OP08-099_p1,PRB02/parallel/OP08-099_p1.png
3976,OP08-099,Kalgara,5030,656247,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,r1,R1,OP08-099_r1,PRB02/reprint/OP08-099_r1.png
3989,OP08-105,Jewelry Bonney,3099,558143,113,market_number_eq_canonical_or_extracted;image_basename_number_agrees;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,promo,2Nd Anniversary Alt,OP08-105::2nd anniversary alt,thumbs/OP08-105(2nd anniversary alt).webp
3990,OP08-105,Jewelry Bonney,3099,558143,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-105::alt,thumbs/OP08-105alt.webp
3991,OP08-105,Jewelry Bonney,3099,558143,101,market_number_eq_canonical_or_extracted;set_code_match;rarity_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt Art 2,OP08-105::alt art 2,thumbs/OP08-105alt2.webp
3995,OP08-106,Nami,3101,558145,89,market_number_eq_canonical_or_extracted;set_code_match;card_name_substring_product;source_tcgcsv,low,1,alt,Alt,OP08-106::alt,thumbs/OP08-106alt.webp
