provenance_folder,card_code,source_url,derived_full_local_path,refresh_status,bytes_written,failure_reason,source_lane,was_protected_skip
ST07,ST07-002,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-002.png,D:\Miru_Assets\ST07\base\ST07-002.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-003,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-003.png,D:\Miru_Assets\ST07\base\ST07-003.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-004,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-004.png,D:\Miru_Assets\ST07\base\ST07-004.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-005.png,D:\Miru_Assets\ST07\base\ST07-005.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST20,ST07-005,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-005.png,D:\Miru_Assets\ST20\reprint\ST07-005_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST07,ST07-006,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-006.png,D:\Miru_Assets\ST07\base\ST07-006.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-007.png,D:\Miru_Assets\ST07\base\ST07-007.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-007.png,D:\Miru_Assets\ST07\alt\ST07-007_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST07-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-007.png,D:\Miru_Assets\PRB01\parallel\ST07-007_p1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST07-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-007.png,D:\Miru_Assets\PRB01\parallel\ST07-007_p2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=parallel. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
PRB01,ST07-007,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-007.png,D:\Miru_Assets\PRB01\reprint\ST07-007_r1.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=reprint. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST07,ST07-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-008.png,D:\Miru_Assets\ST07\base\ST07-008.png,SKIPPED_ALREADY_PRESENT,0,,BANDAI_CDN_BASE,no
ST07,ST07-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-008.png,D:\Miru_Assets\ST07\alt\ST07-008_alt.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
ST07,ST07-008,https://en.onepiece-cardgame.com/images/cardlist/card/ST07-008.png,D:\Miru_Assets\ST07\alt\ST07-008_alt2.png,HELD_UNAPPROVED_SOURCE,0,Bandai CDN URL is base-code only; not variant-aware for family=alt. Fetching would write wrong image.,BANDAI_CDN_BASE_MISMATCH,no
