printing_id,card_code,variant_key,current_path,refreshed_path,old_byte_size,new_byte_size,old_dimensions,new_dimensions,refresh_status,source_used,notes
955,OP01-052_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
956,OP01-052_p3,parallel_3,PRB01\parallel\OP01-052_p3.png,PRB01/parallel/OP01-052_p3.png,171761,171761,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
957,OP01-052_p4,parallel_4,PRB01\parallel\OP01-052_p4.png,PRB01/parallel/OP01-052_p4.png,152717,152717,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
959,OP01-052_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
966,OP01-055_p1,parallel_1,PRB02\parallel\OP01-055_p1.png,PRB02/parallel/OP01-055_p1.png,1232375,1232375,868x1213,868x1213,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 868x1213 as supplemental to existing 868x1213
967,OP01-055_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
972,OP01-057::alt,alt,OP01\ALTS\OP01-057alt.png,,10239784,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (10239784b) via alts_highres
973,OP01-057_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
980,OP01-060::alt,alt,OP01\ALTS\OP01-060 (alt).png,,11799236,0,3357x4692,,SKIPPED_GOOD_ENOUGH,,Already 3357x4692 (11799236b) via alts_highres
983,OP01-060::st17alt,alt,ST17\OP01-060(ST17alt).jpg,,5580817,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5580817b) via highres_match
981,OP01-060_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
982,OP01-060_p2,parallel_2,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
986,OP01-061::alt,alt,OP01\ALTS\OP01-061 (alt).png,,9626360,0,3357x4692,,SKIPPED_GOOD_ENOUGH,,Already 3357x4692 (9626360b) via alts_highres
987,OP01-061_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
990,OP01-062::alt,alt,OP01\ALTS\OP01-062 (alt).png,,10400809,0,3357x4692,,SKIPPED_GOOD_ENOUGH,,Already 3357x4692 (10400809b) via alts_highres
991,OP01-062_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
996,OP01-064::alt,alt,OP01\ALTS\OP01-064alt.jpg,,5237506,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5237506b) via alts_highres
997,OP01-064_p1,parallel_1,OP01\parallel\OP01-064_p1.png,OP01/parallel/OP01-064_p1.png,228415,228415,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1004,OP01-067::alt,alt,OP01\ALTS\OP01-067 (Alt).png,,332291,0,600x838,,SKIPPED_LOW_RES,,LOW_RES at 600x838 via alts_highres. No better source available.
1005,OP01-067_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1012,OP01-070::alt,alt,OP01\ALTS\OP01-070 (alt).png,,10304819,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (10304819b) via alts_highres
1013,OP01-070::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1017,OP01-070::prb01alt,alt,PRB01\Alts\OP01-070(PRB01alt).jpg,,6016792,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (6016792b) via alts_highres
1014,OP01-070_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1015,OP01-070_p2,parallel_2,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1016,OP01-070_p4,parallel_4,PRB01\parallel\OP01-070_p4.png,PRB01/parallel/OP01-070_p4.png,202614,202614,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1018,OP01-070_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1025,OP01-073::alt,alt,OP01\ALTS\OP01-073 (Alt).png,,304910,0,600x838,,SKIPPED_LOW_RES,,LOW_RES at 600x838 via alts_highres. No better source available.
1029,OP01-073::s p,sp,OP07\Alts\SP\OP01-073SP.jpg,,6059194,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (6059194b) via alts_highres
1026,OP01-073_p1,parallel_1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1027,OP01-073_p2,parallel_2,OP07\parallel\OP01-073_p2.png,OP07/parallel/OP01-073_p2.png,256745,256745,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1028,OP01-073_r1,r1,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1038,OP01-077::alt,alt,OP01\ALTS\OP01-077alt2.jpg,,5465847,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5465847b) via alts_highres
1039,OP01-077::alt art 2,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1040,OP01-077::alt art 3,alt,,,0,0,,,GAP_NO_SOURCE,,No image file on disk. No source_url in image_assets. Needs new source discovery.
1041,OP01-077_p1,parallel_1,OP01\parallel\OP01-077_p1.png,OP01/parallel/OP01-077_p1.png,193231,193231,600x838,600x838,FETCHED_SUPPLEMENTAL,optcg-api,Fetched 600x838 as supplemental to existing 600x838
1044,OP01-078::alt,alt,OP01\ALTS\OP01-078 (Alt).png,,12499636,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (12499636b) via alts_highres
1048,OP01-078::prb01alt,alt,PRB01\Alts\OP01-078(PRB01alt).jpg,,5767975,0,3358x4692,,SKIPPED_GOOD_ENOUGH,,Already 3358x4692 (5767975b) via alts_highres
