canonical_code,card_name,rarity,variant_key,variant_label,is_base,tcgplayer_product_id,tcgplayer_market_price
EB02-006,Yamato,SR,promo,Premiumvol 5,0,,
EB02-006,Yamato,SR,promo,Serial,0,,
EB02-007,Cloven Rose Blizzard,C,base,Base,1,,
EB02-008,The Peak,R,base,Base,1,,
EB02-009,Thousand Sunny,C,base,Base,1,,
EB02-010,Monkey.D.Luffy,L,alt,Alt,0,,
EB02-010,Monkey.D.Luffy,L,base,Base,1,,
EB02-010,Monkey.D.Luffy,L,ir,Ia,0,,
EB02-010,Monkey.D.Luffy,L,parallel_1,Parallel 1,0,,
EB02-010,Monkey.D.Luffy,L,parallel_2,Parallel 2,0,,
EB02-010,Monkey.D.Luffy,L,promo,Soundloader,0,,
EB02-011,Arlong,SR,alt,Alt,0,,
EB02-011,Arlong,SR,base,Base,1,,
EB02-011,Arlong,SR,parallel_1,Parallel 1,0,,
EB02-012,Gaimon,C,base,Base,1,,
EB02-013,Carrot,C,base,Base,1,,
EB02-014,Sarfunkel,C,base,Base,1,,
EB02-015,Jewelry Bonney,SR,alt,Alt,0,,
EB02-015,Jewelry Bonney,SR,base,Base,1,,
EB02-015,Jewelry Bonney,SR,parallel_1,Parallel 1,0,,
EB02-016,Chopperman,C,base,Base,1,,
EB02-017,Nami,R,alt,Alt,0,,
EB02-017,Nami,R,alt,Alt Art 2,0,,
EB02-017,Nami,R,base,Base,1,,
EB02-017,Nami,R,parallel_1,Parallel 1,0,,
EB02-018,Buggy,R,base,Base,1,,
EB02-019,Roronoa Zoro,R,alt,Alt Art 1,0,,
EB02-019,Roronoa Zoro,R,alt,Alt Art 2,0,,
EB02-019,Roronoa Zoro,R,base,Base,1,,
EB02-019,Roronoa Zoro,R,parallel_1,Parallel 1,0,,
EB02-019,Roronoa Zoro,R,parallel_2,Parallel 2,0,,
EB02-020,We Are!,R,base,Base,1,,
EB02-021,Gum-Gum Giant Pistol,C,base,Base,1,,
EB02-022,Usopp,R,alt,Alt,0,,
EB02-022,Usopp,R,base,Base,1,,
EB02-022,Usopp,R,parallel_1,Parallel 1,0,,
EB02-023,Crocodile,C,base,Base,1,,
EB02-024,Sogeking,C,base,Base,1,,
EB02-025,Donquixote Rosinante,R,base,Base,1,,
EB02-026,Nefeltari Vivi,SR,alt,Alt,0,,
EB02-026,Nefeltari Vivi,SR,base,Base,1,,
EB02-026,Nefeltari Vivi,SR,parallel_1,Parallel 1,0,,
EB02-026,Nefeltari Vivi,SR,parallel_2,Parallel 2,0,,
EB02-026,Nefeltari Vivi,SR,promo,Exe Vol 3,0,,
EB02-026,Nefeltari Vivi,SR,tr,Tr,0,,
EB02-027,Vista,C,base,Base,1,,
EB02-028,Portgas.D.Ace,R,base,Base,1,,
EB02-028,Portgas.D.Ace,R,parallel_1,Parallel 1,0,,
EB02-028,Portgas.D.Ace,R,sp,SP,0,,
EB02-029,Grandpa Ryu,C,base,Base,1,,
EB02-030,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,C,base,Base,1,,
EB02-031,Hope,R,base,Base,1,,
EB02-032,Iceburg,C,base,Base,1,,
EB02-033,Klabautermann,C,base,Base,1,,
EB02-034,Komei,C,base,Base,1,,
EB02-035,Sanji & Pudding,SR,alt,Alt,0,,
EB02-035,Sanji & Pudding,SR,base,Base,1,,
EB02-035,Sanji & Pudding,SR,parallel_1,Parallel 1,0,,
EB02-036,Nico Robin,R,alt,Alt,0,,
EB02-036,Nico Robin,R,base,Base,1,,
EB02-036,Nico Robin,R,parallel_1,Parallel 1,0,,
EB02-037,Franky,R,base,Base,1,,
EB02-038,Magellan,C,base,Base,1,,
EB02-039,GERMA 66,C,base,Base,1,,
EB02-040,BRAND NEW WORLD,R,base,Base,1,,
EB02-041,Merry Go,R,base,Base,1,,
EB02-041,Merry Go,R,parallel_1,Parallel 1,0,,
EB02-041,Merry Go,R,promo,Premiumvol 5,0,,
EB02-042,All-Hunt Grount,C,base,Base,1,,
EB02-043,Jonathan,C,base,Base,1,,
EB02-044,Sengoku,SR,alt,Alt,0,,
EB02-044,Sengoku,SR,base,Base,1,,
EB02-044,Sengoku,SR,parallel_1,Parallel 1,0,,
EB02-045,Trafalgar Law,SR,alt,Alt,0,,
EB02-045,Trafalgar Law,SR,base,Base,1,,
EB02-045,Trafalgar Law,SR,parallel_1,Parallel 1,0,,
EB02-046,Hildon,C,base,Base,1,,
EB02-047,Blueno,C,base,Base,1,,
EB02-048,Brook,R,alt,Alt,0,,
EB02-048,Brook,R,base,Base,1,,
EB02-048,Brook,R,parallel_1,Parallel 1,0,,
EB02-049,Monkey.D.Garp,R,base,Base,1,,
EB02-050,Kokoro no Chizu,R,base,Base,1,,
EB02-051,Three-Pace Hum Soul Notch Slash,C,base,Base,1,,
EB02-052,Enel,SR,alt,Alt,0,,
EB02-052,Enel,SR,base,Base,1,,
EB02-052,Enel,SR,parallel_1,Parallel 1,0,,
EB02-053,Myskina Olga,C,base,Base,1,,
EB02-054,Sanji,R,alt,Alt,0,,
EB02-054,Sanji,R,base,Base,1,,
EB02-054,Sanji,R,parallel_1,Parallel 1,0,,
EB02-054,Sanji,R,promo,Exe Vol 3,0,,
EB02-054,Sanji,R,promo,Promo,0,,
EB02-055,Jinbe,R,base,Base,1,,
EB02-055,Jinbe,R,parallel_1,Parallel 1,0,,
EB02-055,Jinbe,R,parallel_2,Parallel 2,0,,
EB02-055,Jinbe,R,promo,Standardbattlevol11,0,,
EB02-056,Vegapunk,SR,alt,Alt,0,,
EB02-056,Vegapunk,SR,base,Base,1,,
EB02-056,Vegapunk,SR,parallel_1,Parallel 1,0,,
EB02-057,Mad Treasure,C,base,Base,1,,
EB02-058,UUUUUS!,R,base,Base,1,,
