id,printing_id,market_product_id,mapping_confidence,mapping_method,mapping_notes,is_preferred,created_at,updated_at
314,1511,605,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
315,1513,606,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
316,1515,607,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
317,1521,608,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
318,1533,609,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
319,1535,610,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
320,1541,611,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
321,1544,612,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
322,1546,613,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
323,1548,614,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
324,1550,615,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
325,1560,616,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
326,1564,617,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
327,1567,618,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
328,1575,619,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
329,1577,620,HIGH,exact_code_plus_base_flag,,1,2026-04-02 02:58:10,
330,6741,628,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
331,6745,629,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
332,6752,630,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
333,6754,631,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
334,6761,632,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
335,6767,633,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
336,6785,634,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
337,6798,635,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
338,6804,636,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
339,6809,637,HIGH,exact_code_plus_base_flag,,1,2026-04-02 03:06:16,
