id,card_id,variant_key,variant_label,print_id,release_set_code,release_set_name,image_path,image_url,source,is_base,is_alt,is_sp,has_variant_evidence,is_tr,is_manga_rare,is_golden_manga_rare,is_promo,is_serialized,is_illustration_rare,official_provenance,distribution_product_key,updated_at,tcgplayer_product_id,tcgplayer_market_price,tcgplayer_mid_price,tcgplayer_low_price,tcgplayer_price_updated_at
71,18,base,Base,EB01-018,EB01,Memorial Collection,EB01/base/EB01-018.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
73,18,parallel_1,Parallel 1,EB01-018_p1,PRB02,One Piece Card The Best Vol.2,PRB02/parallel/EB01-018_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T04:03:11Z,,,,,
74,18,r1,R1,EB01-018_r1,PRB02,One Piece Card The Best Vol.2,PRB02/reprint/EB01-018_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_r1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-ONE PIECE CARD THE BEST vol.2- [PRB-02],PRB02,2026-03-31T04:03:19Z,,,,,
75,19,base,Base,EB01-019,EB01,Memorial Collection,EB01/base/EB01-019.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-019.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
77,20,base,Base,EB01-020,EB01,Memorial Collection,EB01/base/EB01-020.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-020.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
79,21,base,Base,EB01-021,EB01,Memorial Collection,EB01/base/EB01-021.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
81,21,alt,Alt,EB01-021::alt,EB01,Memorial Collection,thumbs/EB01-021alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
82,21,parallel_1,Parallel 1,EB01-021_p1,EB01,Memorial Collection,EB01/parallel/EB01-021_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:03:36Z,,,,,
83,21,parallel_2,Parallel 2,EB01-021_p2,EB02,Anime 25th Collection,EB02/parallel/EB01-021_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p2.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Anime 25th Collection- [EB-02],EB02,2026-03-31T04:03:41Z,,,,,
84,22,base,Base,EB01-022,EB01,Memorial Collection,EB01/base/EB01-022.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022.png?260305,official-cardlist,1,0,0,1,0,0,0,0,0,0,,,2026-04-01 22:05:40,,,,,
86,22,alt,Alt,EB01-022::alt,EB01,Memorial Collection,thumbs/EB01-022alt.webp,,local-catalog,0,1,0,1,0,0,0,0,0,0,,,,,,,,
87,22,parallel_1,Parallel 1,EB01-022_p1,EB01,Memorial Collection,EB01/parallel/EB01-022_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022_p1.png?260305,official-cardlist,0,0,0,1,0,0,0,0,0,0,-Memorial Collection- [EB-01],EB01,2026-03-31T04:03:50Z,,,,,
88,23,base,Base,EB01-023,EB01,Memorial Collection,EB01/sp/EB01-023_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023.png?260305,official-cardlist,1,0,1,1,0,0,0,0,0,0,,,,,,,,
90,23,parallel_1,Parallel 1,EB01-023_p1,OP14,The Azure Sea’s Seven,EB04/parallel/EB01-023_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023_p1.png?260305,official-cardlist,0,0,1,1,0,0,0,0,0,0,-THE AZURE SEA’S SEVEN- [OP14-EB04],EB04,2026-03-31T04:04:00Z,,,,,
