id,source_name,market_product_id,market_group_id,market_category_id,product_name,clean_product_name,market_variant_label,market_set_name,market_set_code,market_number,rarity_market,subtype_support,active,url,image_url,raw_payload_json,created_at,updated_at
343,tcgcsv,454533,3188,68,Tony Tony.Chopper,Tony TonyChopper,,,OP01,OP01-015,UC,0,1,https://www.tcgplayer.com/product/454533/one-piece-card-game-romance-dawn-tony-tonychopper,,,2026-04-01 22:09:08,2026-04-01 22:09:08
344,tcgcsv,454534,3188,68,Nami,Nami,,,OP01,OP01-016,R,0,1,https://www.tcgplayer.com/product/454534/one-piece-card-game-romance-dawn-nami,,,2026-04-01 22:09:08,2026-04-01 22:09:08
345,tcgcsv,454536,3188,68,Nami (Parallel),Nami Parallel,Parallel,,OP01,OP01-016,R,0,1,https://www.tcgplayer.com/product/454536/one-piece-card-game-romance-dawn-nami-parallel,,,2026-04-01 22:09:08,2026-04-01 22:09:08
346,tcgcsv,454538,3188,68,Nico Robin,Nico Robin,,,OP01,OP01-017,R,0,1,https://www.tcgplayer.com/product/454538/one-piece-card-game-romance-dawn-nico-robin,,,2026-04-01 22:09:08,2026-04-01 22:09:08
347,tcgcsv,454540,3188,68,Hajrudin,Hajrudin,,,OP01,OP01-018,C,0,1,https://www.tcgplayer.com/product/454540/one-piece-card-game-romance-dawn-hajrudin,,,2026-04-01 22:09:08,2026-04-01 22:09:08
348,tcgcsv,454542,3188,68,Bartolomeo,Bartolomeo,,,OP01,OP01-019,C,0,1,https://www.tcgplayer.com/product/454542/one-piece-card-game-romance-dawn-bartolomeo,,,2026-04-01 22:09:08,2026-04-01 22:09:08
349,tcgcsv,454543,3188,68,Hyogoro,Hyogoro,,,OP01,OP01-020,C,0,1,https://www.tcgplayer.com/product/454543/one-piece-card-game-romance-dawn-hyogoro,,,2026-04-01 22:09:08,2026-04-01 22:09:08
350,tcgcsv,454544,3188,68,Franky,Franky,,,OP01,OP01-021,UC,0,1,https://www.tcgplayer.com/product/454544/one-piece-card-game-romance-dawn-franky,,,2026-04-01 22:09:08,2026-04-01 22:09:08
351,tcgcsv,454545,3188,68,Brook,Brook,,,OP01,OP01-022,UC,0,1,https://www.tcgplayer.com/product/454545/one-piece-card-game-romance-dawn-brook,,,2026-04-01 22:09:08,2026-04-01 22:09:08
352,tcgcsv,454546,3188,68,Marco,Marco,,,OP01,OP01-023,C,0,1,https://www.tcgplayer.com/product/454546/one-piece-card-game-romance-dawn-marco,,,2026-04-01 22:09:08,2026-04-01 22:09:08
353,tcgcsv,454547,3188,68,Gum-Gum Fire-Fist Pistol Red Hawk,Gum Gum Fire Fist Pistol Red Hawk,,,OP01,OP01-026,R,0,1,https://www.tcgplayer.com/product/454547/one-piece-card-game-romance-dawn-gum-gum-fire-fist-pistol-red-hawk,,,2026-04-01 22:09:08,2026-04-01 22:09:08
354,tcgcsv,454548,3188,68,Round Table,Round Table,,,OP01,OP01-027,C,0,1,https://www.tcgplayer.com/product/454548/one-piece-card-game-romance-dawn-round-table,,,2026-04-01 22:09:08,2026-04-01 22:09:08
355,tcgcsv,454549,3188,68,Green Star Rafflesia,Green Star Rafflesia,,,OP01,OP01-028,C,0,1,https://www.tcgplayer.com/product/454549/one-piece-card-game-romance-dawn-green-star-rafflesia,,,2026-04-01 22:09:08,2026-04-01 22:09:08
356,tcgcsv,454550,3188,68,Radical Beam!!,Radical Beam,,,OP01,OP01-029,UC,0,1,https://www.tcgplayer.com/product/454550/one-piece-card-game-romance-dawn-radical-beam,,,2026-04-01 22:09:08,2026-04-01 22:09:08
