card_id,role,role_confidence,evidence,classification_source,status,created_at,updated_at
EB01-060,life_manipulation,medium,Life card text with manipulation context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB01-061,searcher,high,deck/top access pattern (look at the top / add up to),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB01-061,tempo_piece,high,active DON!! / set DON!! as active,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB01-061,don_acceleration,high,DON!! deck adds DON!!,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-003,tempo_piece,high,rested DON!! to Leader or Character,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-004,finisher,low,cost >= 8 (cost=8),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-006,finisher,medium,effect_text contains Rush and cost >= 6 (cost=6),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-006,tempo_piece,high,rested DON!! to Leader or Character,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-007,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-008,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-009,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-010,tempo_piece,high,active DON!! / set DON!! as active,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-011,tempo_piece,high,rested DON!! to Leader or Character,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-012,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-013,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-013,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-013,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-013,don_acceleration,medium,add DON!! to field/Leader/Character,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-014,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-015,tempo_piece,high,active DON!! / set DON!! as active,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-016,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-017,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-020,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-022,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-023,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-025,extender,low,play up to / put into play pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-025,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-028,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-028,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-030,removal,medium,K.O. on character (opponent implied),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-031,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-032,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-032,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-032,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-032,don_acceleration,medium,add DON!! to field/Leader/Character,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-033,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-035,searcher,high,deck/top access pattern (look at the top / add up to),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-035,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-035,value_engine,high,draw effect with repeatable/when/at trigger,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-035,tempo_piece,high,active DON!! / set DON!! as active,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-035,don_acceleration,high,DON!! deck adds DON!!,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-035,don_reduction,medium,return DON!! to DON!! deck,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-036,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-036,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-036,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-037,searcher,high,deck/top access pattern (look at the top / add up to),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-037,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-037,don_acceleration,high,DON!! deck adds DON!!,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-038,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-039,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-039,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-039,recursion_piece,high,from trash to hand/field/play pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-039,hand_control,high,trash from opponent hand context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-040,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-041,tempo_piece,medium,DON!! tempo manipulation,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-044,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-044,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-044,recursion_piece,high,from trash to hand/field/play pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-045,blocker,high,block_icon set; Blocker-type card,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-045,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-045,recursion_piece,high,from trash to hand/field/play pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-045,hand_control,high,trash from opponent hand context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-046,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-047,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-047,recursion_piece,high,from trash to hand/field/play pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-048,searcher,high,deck/top access pattern (look at the top / add up to),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-048,extender,low,play up to / put into play from hand or trash,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-048,recursion_piece,high,from trash to hand/field/play pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-049,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-049,tempo_piece,high,rested DON!! to Leader or Character,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-050,searcher,medium,effect_text contains reveal with add/play/hand/field context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-051,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-052,searcher,high,deck/top access pattern (look at the top / add up to),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-052,finisher,low,cost >= 8 (cost=10),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-052,stabilizer,medium,add to Life / Life cards (defensive stabilization),text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-052,life_manipulation,high,Life card(s) move/add/remove pattern,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
EB02-053,removal,high,K.O./return/trash pattern targeting opponent context,text_analysis,inferred,2026-03-25 05:26:35,2026-03-25 05:26:35
