card_code,printing_id,variant_key,current_local_path,candidate_paths_checked,matched_path,file_exists,reconciliation_type
OP01-021,811,base,OP01/base/thumbs/OP01-021.webp,OP01\base\OP01-021.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-021.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-021.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-021.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-021.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-021.png,YES,THUMBS_TO_BASE_FIX
OP01-022,821,base,OP01/base/thumbs/OP01-022.webp,OP01\base\OP01-022.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-022.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-022.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-022.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-022.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-022.png,YES,THUMBS_TO_BASE_FIX
OP01-023,825,base,OP01/base/thumbs/OP01-023.webp,OP01\base\OP01-023.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-023.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-023.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-023.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-023.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-023.png,YES,THUMBS_TO_BASE_FIX
OP01-024,827,base,OP01/base/thumbs/OP01-024.webp,OP01\base\OP01-024.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-024.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-024.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-024.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-024.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-024.png,YES,THUMBS_TO_BASE_FIX
OP01-025,834,base,OP01/base/thumbs/OP01-025.webp,OP01\base\OP01-025.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-025.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-025.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-025.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-025.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-025.png,YES,THUMBS_TO_BASE_FIX
OP01-026,844,base,OP01/base/thumbs/OP01-026.webp,OP01\base\OP01-026.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-026.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-026.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-026.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-026.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-026.png,YES,THUMBS_TO_BASE_FIX
OP01-027,846,base,OP01/base/thumbs/OP01-027.webp,OP01\base\OP01-027.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-027.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-027.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-027.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-027.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-027.png,YES,THUMBS_TO_BASE_FIX
OP01-028,848,base,OP01/base/thumbs/OP01-028.webp,OP01\base\OP01-028.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-028.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-028.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-028.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-028.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-028.png,YES,THUMBS_TO_BASE_FIX
OP01-029,850,base,OP01/base/thumbs/OP01-029.webp,OP01\base\OP01-029.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-029.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-029.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-029.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-029.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-029.png,YES,THUMBS_TO_BASE_FIX
OP01-030,857,base,OP01/base/thumbs/OP01-030.webp,OP01\base\OP01-030.webp [THUMBS_REMOVED_SAME_EXT] -> MISSING | OP01\base\OP01-030.png [THUMBS_TO_BASE_FIX] -> EXISTS | OP01\base\thumbs\OP01-030.png [EXTENSION_FIX] -> MISSING | OP01\base\OP01-030.jpg [THUMBS_TO_BASE_JPG] -> MISSING | OP01/base/thumbs/OP01-030.webp [PATH_ONLY_FIX] -> MISSING,OP01\base\OP01-030.png,YES,THUMBS_TO_BASE_FIX
