card_id,card_image_id,set_name,set_id,card_name,rarity,inferred_treatment,inferred_treatment_confidence,card_image_url,local_canonical_code_match,local_variant_match_id,local_image_asset_exists,gap_status,raw_json_path
OP01-028,OP01-028,Romance Dawn,OP-01,Green Star Rafflesia,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-028.jpg,yes,848,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-028.json
OP01-029,OP01-029,Romance Dawn,OP-01,Radical Beam!!,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-029.jpg,yes,850,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-029.json
OP01-029,OP01-029_p2,Premium Booster -The Best-,PRB-01,Radical Beam!! (Jolly Roger Foil),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-029_p2.jpg,yes,853,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-029.json
OP01-029,OP01-029_p3,Premium Booster -The Best-,PRB-01,Radical Beam!! (Textured Foil),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-029_p3.jpg,yes,854,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-029.json
OP01-029,OP01-029_r1,Premium Booster -The Best-,PRB-01,Radical Beam!!,UC,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-029_r1.png,yes,856,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-029.json
OP01-030,OP01-030,Romance Dawn,OP-01,In Two Years!! At the Sabaody Archipelago!!,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-030.jpg,yes,857,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-030.json
OP01-031,OP01-031,Romance Dawn,OP-01,Kouzuki Oden,L,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-031.jpg,yes,861,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-031.json
OP01-031,OP01-031_p1,Romance Dawn,OP-01,Kouzuki Oden (Parallel),L,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-031_p1.jpg,yes,864,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-031.json
OP01-032,OP01-032,Romance Dawn,OP-01,Ashura Doji,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-032.jpg,yes,865,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-032.json
OP01-033,OP01-033,Romance Dawn,OP-01,Izo,UC,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-033.jpg,yes,867,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-033.json
OP01-033,OP01-033_p3,Premium Booster -The Best-,PRB-01,Izo (OP01-033) (Jolly Roger Foil),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-033_p3.jpg,yes,872,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-033.json
OP01-033,OP01-033_p5,Premium Booster -The Best-,PRB-01,Izo (OP01-033) (Alternate Art),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-033_p5_8AI2ZwU.jpg,yes,874,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-033.json
OP01-033,OP01-033_p5,Premium Booster -The Best-,PRB-01,Izo (OP01-033) (Full Art),UC,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-033_p5.jpg,yes,874,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-033.json
OP01-033,OP01-033_r1,Premium Booster -The Best-,PRB-01,Izo,UC,reprint,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-033_r1.png,yes,877,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-033.json
OP01-034,OP01-034,Romance Dawn,OP-01,Inuarashi,C,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-034.jpg,yes,878,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-034.json
OP01-034,OP01-034_p1,Romance Dawn,OP-01,Inuarashi (Box Topper),C,parallel,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-034_p1.jpg,yes,881,no,LOCAL_HAS_NO_IMAGE_ASSET,data/api_exploration/optcg_api_op01/OP01-034.json
OP01-035,OP01-035,Romance Dawn,OP-01,Okiku,R,base,HIGH,https://optcgapi.com/media/static/Card_Images/OP01-035.jpg,yes,882,yes,MATCHED,data/api_exploration/optcg_api_op01/OP01-035.json
