cv_id,canonical_code,card_name,variant_family,source,tcgplayer_product_id,total_local_mp_rows_found,strong_signal_mp_ids,strong_signal_mp_names,weak_signal_mp_ids,weak_signal_mp_names,local_catalog_classification,next_lane_tag,notes
6218,OP15-058,Enel,alt,local-catalog,,2,5524,Enel (OP15-058) (Alternate Art),5523,Enel (OP15-058),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6221,OP15-060,Enel,alt,local-catalog,,2,5527,Enel (OP15-060) (Alternate Art),5526,Enel (OP15-060),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6251,OP15-086,Nami,alt,local-catalog,,2,5557,Nami (OP15-086) (Alternate Art),5556,Nami (OP15-086),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6258,OP15-092,Monkey.D.Luffy,alt,local-catalog,,2,5564,Monkey.D.Luffy (OP15-092) (Alternate Art),5563,Monkey.D.Luffy (OP15-092),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6265,OP15-098,Monkey.D.Luffy,alt,local-catalog,,2,5571,Monkey.D.Luffy (OP15-098) (Alternate Art),5570,Monkey.D.Luffy (OP15-098),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6277,OP15-109,Nico Robin,alt,local-catalog,,2,5583,Nico Robin (OP15-109) (Alternate Art),5582,Nico Robin (OP15-109),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6282,OP15-113,Roronoa Zoro,alt,local-catalog,,2,5588,Roronoa Zoro (OP15-113) (Alternate Art),5587,Roronoa Zoro (OP15-113),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6290,OP15-118,Enel,alt,local-catalog,,3,5596;5597,Enel (OP15-118) (Alternate Art) || Enel (OP15-118) (Manga),5595,Enel (OP15-118),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
6293,OP15-119,Monkey.D.Luffy,alt,local-catalog,,2,5599,Monkey.D.Luffy (OP15-119) (Alternate Art),5598,Monkey.D.Luffy (OP15-119),STRONG_TREATMENT_PRODUCT_EXISTS,READY_FOR_19_10_TARGETED_CANDIDATE_PASS,At least one STRONG-signal sibling exists with backing market_prices rows.
7263,ST10-001,Trafalgar Law,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7265,ST10-002,Monkey.D.Luffy,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7267,ST10-003,"Eustass""Captain""Kid",base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7269,ST10-004,Sanji,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7285,ST10-007,Killer,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7293,ST10-009,Jean Bart,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7305,ST10-011,Heat,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7307,ST10-012,Bepo,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7315,ST10-014,Wire,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7317,ST10-015,Gum-Gum Giant Sumo Slap,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7319,ST10-016,Gum-Gum Kong Gatling,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7321,ST10-017,Punk Vise,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7403,ST13-005,Emporio.Ivankov,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7407,ST13-006,Curly.Dadan,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7417,ST13-008,Sabo,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7421,ST13-009,Shanks,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7443,ST13-013,Monkey.D.Garp,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
7464,ST13-017,Flame Dragon King,base,official-cardlist,,0,,,,,NOT_IN_LOCAL_CATALOG,HOLD_NOT_IN_CATALOG,No plausible local market_products identity shell found.
