card_code,printing_id,variant_key,market_product_id,product_name,image_url,existing_preferred_pid,candidate_status,sub_classification
OP01-120,1161,alt,3268,Shanks (OP01-120) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586194_200w.jpg,1157,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-121,1168,alt,3335,Yamato (OP01-121) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586891_200w.jpg,1169,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-121,1172,alt,3335,Yamato (OP01-121) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586891_200w.jpg,1169,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-016,787,mr,3375,Nami (OP01-016) (Manga),https://tcgplayer-cdn.tcgplayer.com/product/587966_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-016,787,mr,817,Nami - OP01-016 (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/485265_200w.jpg,788,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-016,787,mr,1068,Nami - OP01-016 (Ultra Deck: The Three Captains),https://tcgplayer-cdn.tcgplayer.com/product/527619_200w.jpg,,CANDIDATE_EXISTS,MULTI_MATCH
OP01-035,889,sp,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-047,933,sp,3337,Trafalgar Law (OP01-047) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586893_200w.jpg,928,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-073,1029,sp,,,,,NO_CANDIDATE,NO_CANDIDATE
OP01-078,1050,sp,3284,Boa Hancock (OP01-078) (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/586548_200w.jpg,1045,CANDIDATE_EXISTS,ALREADY_OWNED
OP01-013,767,tr,815,Sanji - OP01-013 (Alternate Art),https://tcgplayer-cdn.tcgplayer.com/product/485263_200w.jpg,763,CANDIDATE_EXISTS,ALREADY_OWNED
