id,printing_id,market_product_id,mapping_confidence,mapping_method,is_preferred
4611,878,317,HIGH,exact_code_plus_base_flag,1
517,882,850,HIGH,exact_code_plus_base_flag,1
531,882,865,HIGH,exact_code_plus_base_flag,1
535,882,869,HIGH,exact_code_plus_base_flag,1
680,882,1028,HIGH,exact_code_plus_base_flag,1
884,882,1263,HIGH,exact_code_plus_base_flag,1
2408,882,2957,HIGH,exact_code_plus_base_flag,1
458,896,772,HIGH,exact_code_plus_base_flag,1
694,896,1045,HIGH,exact_code_plus_base_flag,1
695,896,1046,HIGH,exact_code_plus_base_flag,1
696,896,1047,HIGH,exact_code_plus_base_flag,1
786,896,1147,HIGH,exact_code_plus_base_flag,1
4028,896,4803,HIGH,exact_code_plus_base_flag,1
4029,896,4804,HIGH,exact_code_plus_base_flag,1
4661,901,367,HIGH,exact_code_plus_base_flag,1
846,905,1217,HIGH,exact_code_plus_base_flag,1
847,905,1218,HIGH,exact_code_plus_base_flag,1
933,905,1321,HIGH,exact_code_plus_base_flag,1
2692,905,3297,HIGH,exact_code_plus_base_flag,1
2693,905,3298,HIGH,exact_code_plus_base_flag,1
2758,905,3380,HIGH,exact_code_plus_base_flag,1
1751,925,2259,HIGH,exact_code_plus_base_flag,1
2725,925,3337,HIGH,exact_code_plus_base_flag,1
4613,925,319,HIGH,exact_code_plus_base_flag,1
4614,934,320,HIGH,exact_code_plus_base_flag,1
1650,942,2143,HIGH,exact_code_plus_base_flag,1
2724,942,3336,HIGH,exact_code_plus_base_flag,1
4673,942,379,HIGH,exact_code_plus_base_flag,1
556,951,894,HIGH,exact_code_plus_base_flag,1
667,951,1015,HIGH,exact_code_plus_base_flag,1
780,951,1141,HIGH,exact_code_plus_base_flag,1
2759,951,3381,HIGH,exact_code_plus_base_flag,1
2760,951,3382,HIGH,exact_code_plus_base_flag,1
2882,951,3534,HIGH,exact_code_plus_base_flag,1
4031,964,4806,HIGH,exact_code_plus_base_flag,1
4032,964,4807,HIGH,exact_code_plus_base_flag,1
834,970,1203,HIGH,exact_code_plus_base_flag,1
2611,978,3191,HIGH,exact_code_plus_base_flag,1
4683,978,389,HIGH,exact_code_plus_base_flag,1
4684,984,390,HIGH,exact_code_plus_base_flag,1
4686,988,392,HIGH,exact_code_plus_base_flag,1
4616,994,322,HIGH,exact_code_plus_base_flag,1
4691,1002,397,HIGH,exact_code_plus_base_flag,1
894,1010,1273,HIGH,exact_code_plus_base_flag,1
2687,1010,3285,HIGH,exact_code_plus_base_flag,1
2883,1010,3535,HIGH,exact_code_plus_base_flag,1
4695,1010,401,HIGH,exact_code_plus_base_flag,1
519,1023,852,HIGH,exact_code_plus_base_flag,1
2409,1023,2958,HIGH,exact_code_plus_base_flag,1
2612,1023,3192,HIGH,exact_code_plus_base_flag,1
4699,1023,405,HIGH,exact_code_plus_base_flag,1
787,1032,1148,HIGH,exact_code_plus_base_flag,1
597,1036,936,HIGH,exact_code_plus_base_flag,1
908,1036,1289,HIGH,exact_code_plus_base_flag,1
919,1036,1300,HIGH,exact_code_plus_base_flag,1
1096,1036,1524,HIGH,exact_code_plus_base_flag,1
1102,1036,1530,HIGH,exact_code_plus_base_flag,1
4618,1036,324,HIGH,exact_code_plus_base_flag,1
1752,1042,2260,HIGH,exact_code_plus_base_flag,1
2686,1042,3284,HIGH,exact_code_plus_base_flag,1
2884,1042,3536,HIGH,exact_code_plus_base_flag,1
4705,1042,411,HIGH,exact_code_plus_base_flag,1
459,1051,773,HIGH,exact_code_plus_base_flag,1
568,1062,906,HIGH,exact_code_plus_base_flag,1
4719,1077,425,HIGH,exact_code_plus_base_flag,1
460,1083,774,HIGH,exact_code_plus_base_flag,1
4722,1083,428,HIGH,exact_code_plus_base_flag,1
