card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-013,759,promo,0,0,0,0,0,0,0,1,P/base/OP01-013.png,FETCH_NEEDED
OP01-013,767,tr,0,0,1,1,0,0,0,0,OP01/tr/OP01-013_tr.png,FETCH_NEEDED
OP01-014,772,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-014_p1.png,FETCH_NEEDED
OP01-014,770,promo,0,0,0,0,0,0,0,1,P/base/OP01-014.png,FETCH_NEEDED
OP01-014,771,promo,0,0,0,0,0,0,0,1,P/base/OP01-014.png,FETCH_NEEDED
OP01-015,775,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-015_alt.png,FETCH_NEEDED
OP01-015,776,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-015_p1.png,FETCH_NEEDED
OP01-016,781,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,783,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,784,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,785,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,786,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,795,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,787,mr,0,0,0,1,1,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,789,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-016_p2.png,FETCH_NEEDED
OP01-016,790,parallel_3,0,0,0,0,0,0,0,0,OP01/parallel/OP01-016_p3.png,FETCH_NEEDED
OP01-016,791,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-016_p4.png,FETCH_NEEDED
OP01-016,792,parallel_5,0,0,0,0,0,0,0,0,OP01/parallel/OP01-016_p5.png,FETCH_NEEDED
OP01-016,793,parallel_7,0,0,0,0,0,0,0,0,OP01/parallel/OP01-016_p7.png,FETCH_NEEDED
OP01-016,794,parallel_8,0,0,0,0,0,0,0,0,OP01/parallel/OP01-016_p8.png,FETCH_NEEDED
OP01-016,779,promo,0,0,0,1,0,0,0,0,OP01/alt/OP01-016_alt.png,FETCH_NEEDED
OP01-016,780,promo,0,0,0,0,0,0,0,1,P/base/OP01-016.png,FETCH_NEEDED
