card_code,printing_id,variant_key,mapped_product_id,market_price,mid_price,low_price,image_path,mapping_confidence,release_set_code,certification_status,failure_reason
OP01-041,905,base,368,0.41,0.41,0.11,OP01/base/OP01-041.png,HIGH,OP01,CERTIFIED,
OP01-041,908,parallel_1,,,,,TP07/parallel/OP01-041_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-041,909,parallel_3,,,,,PRB01/parallel/OP01-041_p3.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-041,910,parallel_4,,,,,PRB01/parallel/OP01-041_p4.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-041,911,parallel_5,,,,,PRB01/parallel/OP01-041_p5.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-041,913,r1,368,0.41,0.41,0.11,OP01/base/OP01-041.png,reprint_share,PRB01,CERTIFIED,
OP01-042,915,base,369,0.14,0.2,0.03,OP01/base/OP01-042.png,HIGH,OP01,CERTIFIED,
OP01-043,917,base,370,0.08,0.15,0.01,OP01/base/OP01-043.png,HIGH,OP01,CERTIFIED,
OP01-044,919,base,371,0.09,0.15,0.01,OP01/base/OP01-044.png,HIGH,OP01,CERTIFIED,
OP01-045,921,base,372,0.06,0.15,0.01,OP01/base/OP01-045.png,HIGH,OP01,CERTIFIED,
OP01-046,923,base,373,0.37,0.4,0.12,OP01/base/OP01-046.png,HIGH,OP01,CERTIFIED,
OP01-047,927,alt,,,,,thumbs/OP01-047 (alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-047,931,alt,,,,,thumbs/OP01-047(PRB01alt2).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-047,925,base,374,0.59,1.16,0.39,OP01/base/OP01-047.png,HIGH,OP01,CERTIFIED,
OP01-047,928,parallel_1,3337,21.7,22.27,15.71,OP01/parallel/OP01-047_p1.png,HIGH,OP01,CERTIFIED,
OP01-047,929,parallel_2,,,,,OP04/parallel/OP01-047_p2.png,,OP04,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-047,930,parallel_4,,,,,PRB01/parallel/OP01-047_p4.png,,PRB01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-047,932,r1,374,0.59,1.16,0.39,OP01/base/OP01-047.png,reprint_share,PRB01,CERTIFIED,
OP01-047,933,sp,,,,,thumbs/OP01-047SP.webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-048,936,alt,,,,,thumbs/OP01-048 (alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-048,934,base,375,0.08,0.17,0.01,OP01/base/OP01-048.png,HIGH,OP01,CERTIFIED,
OP01-048,937,parallel_1,,,,,OP01/parallel/OP01-048_p1.png,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-049,938,base,376,0.29,0.29,0.11,OP01/base/OP01-049.png,HIGH,OP01,CERTIFIED,
OP01-050,940,base,377,0.08,0.15,0.02,OP01/base/OP01-050.png,HIGH,OP01,CERTIFIED,
OP01-051,944,alt,,,,,thumbs/OP01-051 (Alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-051,948,alt,,,,,thumbs/OP01-051(PRB01alt).webp,,OP01,MISSING_IMAGE_ASSET,No image_assets row for printing_id
OP01-051,942,base,378,1.27,1.99,0.95,OP01/base/OP01-051.png,HIGH,OP01,CERTIFIED,
OP01-051,945,parallel_1,3336,9.84,12.45,4.95,OP01/parallel/OP01-051_p1.png,HIGH,OP01,CERTIFIED,
OP01-051,946,parallel_2,,,,,OP03/parallel/OP01-051_p2.png,,OP03,MISSING_IMAGE_ASSET,No image_assets row for printing_id
