card_id,card_image_id,set_name,set_id,inferred_treatment,local_variant_match_id,card_image_url,proposed_set_folder,proposed_subfolder,proposed_filename,proposed_relative_path,proposed_absolute_path,existing_file_on_disk,existing_file_size_bytes,existing_image_assets_row,registration_readiness,notes
OP01-033,OP01-033_p5,Premium Booster -The Best-,PRB-01,parallel,874,https://optcgapi.com/media/static/Card_Images/OP01-033_p5_8AI2ZwU.jpg,PRB01,parallel,OP01-033_p5.png,PRB01/parallel/OP01-033_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-033,OP01-033_p5,Premium Booster -The Best-,PRB-01,parallel,874,https://optcgapi.com/media/static/Card_Images/OP01-033_p5.jpg,PRB01,parallel,OP01-033_p5.png,PRB01/parallel/OP01-033_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-033_p5.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-034,OP01-034_p1,Romance Dawn,OP-01,parallel,881,https://optcgapi.com/media/static/Card_Images/OP01-034_p1.jpg,OP01,parallel,OP01-034_p1.png,OP01/parallel/OP01-034_p1.png,D:\Miru_Assets\OP01\parallel\OP01-034_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-034.png
OP01-035,OP01-035_p2,500 Years in the Future,OP-07,parallel,887,https://optcgapi.com/media/static/Card_Images/OP01-035_p2.jpg,OP07,parallel,OP01-035_p2.png,OP07/parallel/OP01-035_p2.png,D:\Miru_Assets\OP07\parallel\OP01-035_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-039,OP01-039_p1,Premium Booster -The Best- Vol. 2,PRB-02,parallel,899,https://optcgapi.com/media/static/Card_Images/OP01-039_p1.jpg,PRB02,parallel,OP01-039_p1.png,PRB02/parallel/OP01-039_p1.png,D:\Miru_Assets\PRB02\parallel\OP01-039_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-041,OP01-041_p7,Premium Booster -The Best-,PRB-01,parallel,908,https://optcgapi.com/media/static/Card_Images/OP01-041_p7.jpg,PRB01,parallel,OP01-041_p7.png,PRB01/parallel/OP01-041_p7.png,D:\Miru_Assets\PRB01\parallel\OP01-041_p7.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-041,OP01-041_p5,Premium Booster -The Best-,PRB-01,parallel,911,https://optcgapi.com/media/static/Card_Images/OP01-041_p5_BTppBsS.jpg,PRB01,parallel,OP01-041_p5.png,PRB01/parallel/OP01-041_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-041,OP01-041_p5,Premium Booster -The Best-,PRB-01,parallel,911,https://optcgapi.com/media/static/Card_Images/OP01-041_p5.jpg,PRB01,parallel,OP01-041_p5.png,PRB01/parallel/OP01-041_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-041_p5.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-047,OP01-047_p2,Kingdoms of Intrigue,OP-04,parallel,929,https://optcgapi.com/media/static/Card_Images/OP01-047_p2.jpg,OP04,parallel,OP01-047_p2.png,OP04/parallel/OP01-047_p2.png,D:\Miru_Assets\OP04\parallel\OP01-047_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-047,OP01-047_p4,Premium Booster -The Best-,PRB-01,parallel,930,https://optcgapi.com/media/static/Card_Images/OP01-047_p4.jpg,PRB01,parallel,OP01-047_p4.png,PRB01/parallel/OP01-047_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-047_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-048,OP01-048_p1,Romance Dawn,OP-01,parallel,937,https://optcgapi.com/media/static/Card_Images/OP01-048_p1.jpg,OP01,parallel,OP01-048_p1.png,OP01/parallel/OP01-048_p1.png,D:\Miru_Assets\OP01\parallel\OP01-048_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-048.png
OP01-051,OP01-051_p2,Pillars of Strength,OP-03,parallel,946,https://optcgapi.com/media/static/Card_Images/OP01-051_p2.jpg,OP03,parallel,OP01-051_p2.png,OP03/parallel/OP01-051_p2.png,D:\Miru_Assets\OP03\parallel\OP01-051_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-051,OP01-051_p4,Premium Booster -The Best-,PRB-01,parallel,947,https://optcgapi.com/media/static/Card_Images/OP01-051_p4.jpg,PRB01,parallel,OP01-051_p4.png,PRB01/parallel/OP01-051_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-051_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-052,OP01-052_p4,Premium Booster -The Best-,PRB-01,parallel,957,https://optcgapi.com/media/static/Card_Images/OP01-052_p4.jpg,PRB01,parallel,OP01-052_p4.png,PRB01/parallel/OP01-052_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-052_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-052,OP01-052_p3,Premium Booster -The Best-,PRB-01,parallel,956,https://optcgapi.com/media/static/Card_Images/OP01-052_p3.jpg,PRB01,parallel,OP01-052_p3.png,PRB01/parallel/OP01-052_p3.png,D:\Miru_Assets\PRB01\parallel\OP01-052_p3.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-055,OP01-055_p1,Premium Booster -The Best- Vol. 2,PRB-02,parallel,966,https://optcgapi.com/media/static/Card_Images/OP01-055_p1.jpg,PRB02,parallel,OP01-055_p1.png,PRB02/parallel/OP01-055_p1.png,D:\Miru_Assets\PRB02\parallel\OP01-055_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-064,OP01-064_p1,Romance Dawn,OP-01,parallel,997,https://optcgapi.com/media/static/Card_Images/OP01-064_p1.jpg,OP01,parallel,OP01-064_p1.png,OP01/parallel/OP01-064_p1.png,D:\Miru_Assets\OP01\parallel\OP01-064_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-064.png
OP01-070,OP01-070_p4,Premium Booster -The Best-,PRB-01,parallel,1016,https://optcgapi.com/media/static/Card_Images/OP01-070_p4.jpg,PRB01,parallel,OP01-070_p4.png,PRB01/parallel/OP01-070_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-070_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-073,OP01-073_p2,500 Years in the Future,OP-07,parallel,1027,https://optcgapi.com/media/static/Card_Images/OP01-073_p2.jpg,OP07,parallel,OP01-073_p2.png,OP07/parallel/OP01-073_p2.png,D:\Miru_Assets\OP07\parallel\OP01-073_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-077,OP01-077_p1,Romance Dawn,OP-01,parallel,1041,https://optcgapi.com/media/static/Card_Images/OP01-077_p1.jpg,OP01,parallel,OP01-077_p1.png,OP01/parallel/OP01-077_p1.png,D:\Miru_Assets\OP01\parallel\OP01-077_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-077.png
OP01-078,OP01-078_p2,Kingdoms of Intrigue,OP-04,parallel,1046,https://optcgapi.com/media/static/Card_Images/OP01-078_p2.jpg,OP04,parallel,OP01-078_p2.png,OP04/parallel/OP01-078_p2.png,D:\Miru_Assets\OP04\parallel\OP01-078_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-078,OP01-078_p4,Premium Booster -The Best-,PRB-01,parallel,1047,https://optcgapi.com/media/static/Card_Images/OP01-078_p4.png,PRB01,parallel,OP01-078_p4.png,PRB01/parallel/OP01-078_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-078_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-109,OP01-109_p1,Romance Dawn,OP-01,parallel,1132,https://optcgapi.com/media/static/Card_Images/OP01-109_p1.jpg,OP01,parallel,OP01-109_p1.png,OP01/parallel/OP01-109_p1.png,D:\Miru_Assets\OP01\parallel\OP01-109_p1.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-109.png
OP01-120,OP01-120_p2,Romance Dawn,OP-01,parallel,1159,https://optcgapi.com/media/static/Card_Images/OP01-120_p2.jpg,OP01,parallel,OP01-120_p2.png,OP01/parallel/OP01-120_p2.png,D:\Miru_Assets\OP01\parallel\OP01-120_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,nearby_files: OP01/base/OP01-120.png; OP01/manga/OP01-120_mr.png; OP01/parallel/OP01-120_p1.png
OP01-120,OP01-120_p5,Premium Booster -The Best-,PRB-01,parallel,1160,https://optcgapi.com/media/static/Card_Images/OP01-120_p5.jpg,PRB01,parallel,OP01-120_p5.png,PRB01/parallel/OP01-120_p5.png,D:\Miru_Assets\PRB01\parallel\OP01-120_p5.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-121,OP01-121_p2,Awakening of the New Era,OP-05,parallel,1170,https://optcgapi.com/media/static/Card_Images/OP01-121_p2.jpg,OP05,parallel,OP01-121_p2.png,OP05/parallel/OP01-121_p2.png,D:\Miru_Assets\OP05\parallel\OP01-121_p2.png,no,,no,FETCH_OR_MIRROR_NEEDED,
OP01-121,OP01-121_p4,Premium Booster -The Best-,PRB-01,parallel,1171,https://optcgapi.com/media/static/Card_Images/OP01-121_p4.jpg,PRB01,parallel,OP01-121_p4.png,PRB01/parallel/OP01-121_p4.png,D:\Miru_Assets\PRB01\parallel\OP01-121_p4.png,no,,no,FETCH_OR_MIRROR_NEEDED,
